"Empresa:","ITASUL TRANSPORTE E LOGISTICA LTDA","","","","","","","","","","","Folha:","","0001"
"C.N.P.J.:","42.497.558/0001-74","","","","","","","","","","","Número livro:","","0004"
"Período:","01/01/2025 - 31/12/2025","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"BALANCETE","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Código","Classificação","","Descrição da conta","","","","Saldo Anterior","","Débito","","Crédito","","Saldo Atual",""
"9152735","2.1.01.01.0001","","            56 MOLAS E ACESSORIOS LTDA EPP","","","","11,150.00c","","23,506.15","","16,436.15","","4,080.00c",""
"9152760","2.1.01.01.0001","","            ANA C DE ARAUJO ANDRADA COMBUSTIVEIS LTDA","","","","0.00","","1,000.00","","1,000.00","","0.00",""
"9152768","2.1.01.01.0001","","            ANA MARIA BERNARDO DE LIMA 09338552730","","","","0.00","","110.00","","110.00","","0.00",""
"9152775","2.1.01.01.0001","","            AUGUSTO URIAS DA CRUZ E FILHOS LTDA","","","","0.00","","500.00","","738.03","","238.03c",""
"9115140","2.1.01.01.0001","","            AUTO POSTO CENTRAL LTDA","","","","78,156.74c","","233,265.82","","191,675.77","","36,566.69c",""
"9152678","2.1.01.01.0001","","            AUTO POSTO ICONHA LTDA","","","","450,034.91c","","108,195.91","","0.00","","341,839.00c",""
"9152754","2.1.01.01.0001","","            AUTO POSTO REAL LTDA","","","","0.00","","13,524.66","","13,524.66","","0.00",""
"9152779","2.1.01.01.0001","","            AUTO POSTO RETAO DA DUTRA LTDA","","","","0.00","","2,746.88","","2,746.88","","0.00",""
"8994978","2.1.01.01.0001","","            AUTO POSTO ZAMPIROLO LTDA","","","","0.00","","95,416.72","","102,658.21","","7,241.49c",""
"9152747","2.1.01.01.0001","","            BAP  BRESSAN AUTO PECAS LTDA","","","","1,095.07c","","797.53","","0.00","","297.54c",""
"9152787","2.1.01.01.0001","","            BR 116 AUTO POSTO LTDA","","","","0.00","","0.00","","2,714.83","","2,714.83c",""
"9152778","2.1.01.01.0001","","            BR COMERCIAL DE PRODUTOS EM GERAL LTDA ME","","","","0.00","","934.56","","3,731.01","","2,796.45c",""
"9152791","2.1.01.01.0001","","            BRAGAPECAS COMERCO DE PECAS LTDA ME","","","","0.00","","565.00","","565.00","","0.00",""
"9152755","2.1.01.01.0001","","            BRENT PETROLEO LTDA","","","","0.00","","589.00","","589.00","","0.00",""
"9152764","2.1.01.01.0001","","            CACIQUE PETROLEO LTDA","","","","0.00","","0.00","","3,350.00","","3,350.00c",""
"9152748","2.1.01.01.0001","","            CAMPEAO 28 POSTOS DE SERVICOS LTDA","","","","0.00","","0.00","","100.02","","100.02c",""
"9152707","2.1.01.01.0001","","            CAPRINI AUTO PECAS IMPORTACAO E EXPORTACAO LTDA","","","","2,510.00c","","4,345.60","","1,835.60","","0.00",""
"9152789","2.1.01.01.0001","","            CAVOX COMERCIO E REPRESENTACOES LTDA","","","","0.00","","0.00","","203.93","","203.93c",""
"9152798","2.1.01.01.0001","","            COMERCIAL AUTOMOTIVA S.A.","","","","0.00","","0.00","","20,005.83","","20,005.83c",""
"9152770","2.1.01.01.0001","","            COMERCIAL DE COMBUSTIVEIS CANTALICE DE ALBUQUERQUE LTDA","","","","0.00","","1,000.00","","1,000.00","","0.00",""
"9152797","2.1.01.01.0001","","            CONVICTA AUTOPECAS EIRELI","","","","0.00","","30.00","","30.00","","0.00",""
"9152802","2.1.01.01.0001","","            DHIONI AUTO MECANICA SAO JOSE LTDA","","","","0.00","","1,634.75","","2,311.50","","676.75c",""
"9152781","2.1.01.01.0001","","            DIDA MATERIAIS DE CONSTRUCAO LTDA ME","","","","0.00","","0.00","","79.50","","79.50c",""
"9152804","2.1.01.01.0001","","            DIRCEU MELO DE SOUZA ME","","","","0.00","","0.00","","360.00","","360.00c",""
"9152794","2.1.01.01.0001","","            DISFERRO COMERCIO DE FERRAGENS LTDA","","","","0.00","","0.00","","1,623.34","","1,623.34c",""
"9152705","2.1.01.01.0001","","            FEMB COMERCIO E SERVICOS LTDA","","","","0.00","","0.00","","212.29","","212.29c",""
"9152731","2.1.01.01.0001","","            FORTBRAS AUTOPECAS S.A.","","","","11,350.00c","","11,765.65","","415.65","","0.00",""
"9152795","2.1.01.01.0001","","            GG MARVILA COM DE MATERIAIS DE CONSTRUCAO","","","","0.00","","3,901.05","","3,901.05","","0.00",""
